PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket (prefix),Ticket (number),Nb-cotiket,Fare,Cabin-nb,Cabin-letter,Embarked,Name
180,0,3,male,36,0,0,LINE,0,4,0,0,none,S,Mr.
272,1,3,male,25,0,0,LINE,0,4,0,0,none,S,Mr.
303,0,3,male,19,0,0,LINE,0,4,0,0,none,S,Mr.
598,0,3,male,49,0,0,LINE,0,4,0,0,none,S,Mr.
773,0,2,female,57,0,0,S.O./P.P.,3,2,10.5,77,E,S,Mrs.
842,0,2,male,16,0,0,S.O./P.P.,3,0,10.5,0,none,S,Mr.
474,1,2,female,23,0,0,SC/AH,541,1,13.7917,0,D,C,Mrs.
546,0,1,male,64,0,0,none,693,1,26,0,none,S,Mr.
873,0,1,male,33,0,0,none,695,1,5,51,B,S,Mr.
227,1,2,male,19,0,0,SW/PP,751,3,10.5,0,none,S,Mr.
649,0,3,male,29.84760522,0,0,S.O./P.P.,751,3,7.55,0,none,S,Mr.
571,1,2,male,62,0,0,S.W./PP,752,3,10.5,0,none,S,Mr.
154,0,3,male,40.5,0,2,A/5,851,1,14.5,0,none,S,Mr.
151,0,2,male,51,0,0,S.O.P.,1166,1,12.525,0,none,S,Rev.
240,0,2,male,33,0,0,SCO/W,1585,1,12.275,0,none,S,Mr.
75,1,3,male,32,0,0,none,1601,7,56.4958,0,none,S,Mr.
170,0,3,male,28,0,0,none,1601,7,56.4958,0,none,S,Mr.
510,1,3,male,26,0,0,none,1601,7,56.4958,0,none,S,Mr.
644,1,3,male,29.84760522,0,0,none,1601,7,56.4958,0,none,S,Mr.
693,1,3,male,29.84760522,0,0,none,1601,7,56.4958,0,none,S,Mr.
827,0,3,male,29.84760522,0,0,none,1601,7,56.4958,0,none,S,Mr.
839,1,3,male,32,0,0,none,1601,7,56.4958,0,none,S,Mr.
390,1,2,female,17,0,0,SC,1748,1,12,0,none,C,Miss.
427,1,2,female,28,1,0,none,2003,1,26,0,none,S,Mrs.
818,0,2,male,31,1,1,S.C./PARIS,2079,2,37.0042,0,none,C,Mr.
828,1,2,male,1,0,2,S.C./PARIS,2079,2,37.0042,0,none,C,Master.
44,1,2,female,3,1,2,SC/Paris,2123,3,41.5792,0,none,C,Miss.
609,1,2,female,22,1,2,SC/Paris,2123,3,41.5792,0,none,C,Mrs.
686,0,2,male,25,1,2,SC/Paris,2123,3,41.5792,0,none,C,Mr.
182,0,2,male,29.84760522,0,0,SC/Paris,2131,1,15.05,0,none,C,Mr.
136,0,2,male,23,0,0,SC/Paris,2133,1,15.0458,0,none,C,Mr.
60,0,3,male,11,5,2,C.A.,2144,6,46.9,0,none,S,Master.
72,0,3,female,16,5,2,C.A.,2144,6,46.9,0,none,S,Miss.
387,0,3,male,1,5,2,C.A.,2144,6,46.9,0,none,S,Master.
481,0,3,male,9,5,2,C.A.,2144,6,46.9,0,none,S,Master.
679,0,3,female,43,1,6,C.A.,2144,6,46.9,0,none,S,Mrs.
684,0,3,male,14,5,2,C.A.,2144,6,46.9,0,none,S,Mr.
548,1,2,male,29.84760522,0,0,SC/Paris,2146,1,13.8625,0,none,C,Mr.
867,1,2,female,27,1,0,SC/Paris,2149,1,13.8583,0,none,C,Miss.
13,0,3,male,20,0,0,A/5,2151,1,8.05,0,none,S,Mr.
38,0,3,male,21,0,0,A/5,2152,1,8.05,0,none,S,Mr.
293,0,2,male,36,0,0,SC/Paris,2163,1,12.875,0,D,C,Mr.
362,0,2,male,29,1,0,SC/Paris,2167,1,27.7208,0,none,C,Mr.
835,0,3,male,18,0,0,none,2223,1,8.3,0,none,S,Mr.
650,1,3,female,23,0,0,C.A.,2314,1,7.55,0,none,S,Miss.
94,0,3,male,26,1,2,C.A.,2315,2,20.575,0,none,S,Mr.
789,1,3,male,1,1,2,C.A.,2315,2,20.575,0,none,S,Master.
160,0,3,male,29.84760522,8,2,C.A.,2343,7,69.55,0,none,S,Master.
181,0,3,female,29.84760522,8,2,C.A.,2343,7,69.55,0,none,S,Miss.
202,0,3,male,29.84760522,8,2,C.A.,2343,7,69.55,0,none,S,Mr.
